"journal","year","month","class","type","URL","subject","first_author"
"journal of dairy science",2017,11,"ruminant","review","https://www.sciencedirect.com/science/article/pii/S0022030217308494","Invited review: Effects of heat stress on dairy cattle welfare","LiamPolsky"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308342","Digestibility and clover proportion determine milk production when silages of different grass and clover species are fed to dairy cows","M.Johansen"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308238","Evaluation of a gas in vitro system for predicting methane production in vivo","RebeccaDanielsson"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217307841","In vitro gas and methane production of silages from whole-plant corn harvested at 4 different stages of maturity and a comparison with in vivo methane production","F.M.Macome"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308172","Effect of dietary flax seed and oil on milk yield, gross composition, and fatty acid profile in dairy cows: A meta-analysis and meta-regression","M.Leduc"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217307919","Effect of substituting soybean meal and canola cake with dried distillers grains with solubles at 2 dietary crude protein levels on feed intake, milk production, and milk quality in dairy cows","C.Gaillard"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308469","Linseed oil and DGAT1 K232A polymorphism: Effects on methane emission, energy and nitrogen metabolism, lactation performance, ruminal fermentation, and rumen microbial composition of Holstein-Friesian cows","S.vanGastelen"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S002203021730855X","Effects of addition of malic or citric acids on fermentation quality and chemical characteristics of alfalfa silage","W.C.Ke"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308135","Effect of increasing amounts of milk replacer powder added to whole milk on postweaning performance, reproduction, glucose metabolism, and mammary fat pad in dairy heifers","C.F.A.Lage"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308020","Urinary purine derivatives as a tool to estimate dry matter intake in cattle: A meta-analysis","J.R.R.Dorea"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308330","Effects of egg yolk inclusion, milk replacer feeding rate, and low-starch (pelleted) or high-starch (texturized) starter on Holstein calf performance through 4 months of age","T.S.Dennis"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308317","Interaction of potassium carbonate and soybean oil supplementation on performance of early-lactation dairy cows fed a high-concentrate diet","A.R.Alfonso-Avila"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S002203021730810X","Effects of monensin on glucose metabolism in transition dairy cows","X.Markantonatos"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308524","Short communication: Short-term intravenous amino acid infusions as a method to detect limiting amino acids in dairy cattle diets","RoniYair"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308597","Short communication: Effects of lysolecithin on milk fat synthesis and milk fatty acid profile of cows fed diets differing in fiber and unsaturated fatty acid concentration","D.E.Rico"
"journal of dairy science",2017,11,"ruminant","original article","https://www.sciencedirect.com/science/article/pii/S0022030217308573","Short communication: Influence of various proteolytic sources during fermentation of reconstituted corn grain silages","D.Junges"
